index,ID,text
103,1458675319385333760,"La Comisión Europea parece resignada a ceder y aceptar la energía nuclear en la categoría verde, para indignación d… https://t.co/4HncGIUP1f"
104,1458674694656253952,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
105,1458674583763103747,"Que raro. Tenía entendido que este pacto era ""secreto"", según habían publicado medios de reconocido prestigio.
El g… https://t.co/OKzBxRu1y6"
106,1458674346826907648,RT @iellakuria: Ya era hora. La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados  https://t.co/…
107,1458673839265751042,RT @linagalvezmunoz: 🇪🇦España es el primer Estado miembro en consensuar con la Comisión Europea🇪🇺 el documento que recoge las Disposiciones…
108,1458673754079379458,RT @elmundoes: La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados https://t.co/66rScDIdFj
109,1458673648257187843,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
110,1458672362195410945,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
111,1458671626971611138,"RT @salvadostv: Este viernes acaba la #COP26... con cierto pesimismo: ""No estamos ni cerca de los objetivos""
📰 https://t.co/giRITe6sUg http…"
112,1458670957128728579,RT @IdafeMartin: La Comisión Europea lleva años pidiendo a España que reduzca la temporalidad.
113,1458670754602663939,"RT @SMiltim: Habíamos descubierto que el Plan de Recuperación, Resiliencia y Transformismo no era un plan de recuperación. Dijimos entonces…"
114,1458670384950222848,"RT @hermanntertsch: @ZiemianczykOlek Los polacos no están solos. Al contrario, los injustos, sectarios y malintencionados ataques a Polonia…"
115,1458669984389943297,RT @elmundoes: La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados https://t.co/66rScDIdFj
116,1458669967226847238,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
117,1458669782283296771,"RT @JorgeRTB: @Raclo20 @Baba_vox Piensa mal y acertarás, me resulta curioso este asalto a la frontera polaca en plena pugna ""ideológica "" d…"
118,1458669642248073220,"@rafetavlc Con estos 2 idiotas🔽
los presidentes de la Comisión Europea, U. VON DER LEYEN, y del Consejo Europeo, CH… https://t.co/99xSroeUQb"
119,1458666991259205636,RT @elmundoes: La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados https://t.co/66rScDIdFj
120,1458666165325242368,RT @elmundoes: La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados https://t.co/66rScDIdFj
121,1458665691138174983,"@Raclo20 @Baba_vox Piensa mal y acertarás, me resulta curioso este asalto a la frontera polaca en plena pugna ""ideo… https://t.co/LggYGqQMLS"
122,1458665362501816326,RT @iellakuria: Ya era hora. La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados  https://t.co/…
123,1458665080711790594,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
124,1458664798040723458,RT @elmundoes: La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados https://t.co/66rScDIdFj
125,1458662994477559810,"RT @hasta_el_mismo3: 🔵 La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados.

https://t.co/x5exI…"
126,1458662919537934337,RT @elmundoes: La Comisión Europea investigará la gestión de Oltra por los casos de abusos a menores tutelados https://t.co/66rScDIdFj
127,1458661994446344196,"RT @RegCom_UChile: TJUE confirma multa de la Comisión Europea contra Google por abuso de posición dominante, al privilegiar Google Shopping…"
128,1458661888477347841,RT @errordesconocid: Yo creo que mucha gente todavía no es consciente de que los ministros de Podemos son auténticos sicarios de la Comisió…
129,1458661762656575490,RT @carlossegovia_: Por fin publica el Gobierno el contrato con la Comisión Europea para publicar los fondos europeos. Lo hace sin haber in…
